"Datum","Abfahrt (laut Plan)","Ankunft (laut Plan)","Zug","Verspätung (am Zielbahnhof)","Zugausfall"
"15.08.2022","05:34","07:24","ICE 811","0",""
"15.08.2022","06:17","07:48","ICE 525","3",""
"15.08.2022","07:18","08:48","ICE 527","1",""
"15.08.2022","08:18","09:48","ICE 529","0",""
"15.08.2022","08:54","10:31","ICE 121","0","Ausfall (Zielbahnhof)"
"15.08.2022","08:54","10:31","ICE 2821","0",""
"15.08.2022","09:10","10:48","ICE 621","0",""
"15.08.2022","10:09","11:48","ICE 623","0",""
"15.08.2022","11:05","12:48","ICE 625","15",""
"15.08.2022","12:17","13:48","ICE 627","41",""
"15.08.2022","12:48","14:26","ICE 123","58",""
"15.08.2022","13:05","14:48","ICE 629","0",""
"15.08.2022","13:33","15:24","ICE 817","0",""
"15.08.2022","14:18","15:48","ICE 721","0",""
"15.08.2022","15:08","16:48","ICE 723","0",""
"15.08.2022","16:18","17:48","ICE 725","26",""
"15.08.2022","16:51","18:31","ICE 127","0","Ausfall (Zielbahnhof)"
"15.08.2022","16:51","18:31","ICE 2827","69",""
"15.08.2022","17:02","19:39","ICE 1224","0","Ausfall (Zielbahnhof)"
"15.08.2022","17:18","18:48","ICE 727","21",""
"15.08.2022","18:18","19:48","ICE 729","24",""
"15.08.2022","19:05","20:48","ICE 821","0",""
"15.08.2022","19:23","22:25","ICE 1021","24",""
"15.08.2022","20:08","21:48","ICE 823","9",""
"15.08.2022","20:24","23:32","IC 2215","62",""
"15.08.2022","20:50","22:31","ICE 221","0","Ausfall (Zielbahnhof)"
"15.08.2022","20:50","22:31","ICE 2831","8",""
"15.08.2022","23:16","02:28","IC 60403","27",""
"15.08.2022","23:24","01:10","ICE 619","6",""
"16.08.2022","02:39","07:02","ICE 921","11",""
"16.08.2022","04:54","06:48","ICE 523","4",""
"16.08.2022","05:34","07:24","ICE 811","0",""
"16.08.2022","06:17","07:48","ICE 525","0",""
"16.08.2022","07:18","08:48","ICE 527","1",""
"16.08.2022","08:18","09:48","ICE 529","12",""
"16.08.2022","08:54","10:31","ICE 121","0","Ausfall (Startbahnhof)"
"16.08.2022","09:10","10:48","ICE 621","20",""
"16.08.2022","10:09","11:48","ICE 623","4",""
"16.08.2022","11:05","12:48","ICE 625","3",""
"16.08.2022","12:17","13:48","ICE 627","0",""
"16.08.2022","12:48","14:26","ICE 123","0","Ausfall (Startbahnhof)"
"16.08.2022","13:05","14:48","ICE 629","5",""
"16.08.2022","13:33","15:24","ICE 817","0",""
"16.08.2022","14:18","15:48","ICE 721","6",""
"16.08.2022","15:08","16:48","ICE 723","0",""
"16.08.2022","16:18","17:48","ICE 725","17",""
"16.08.2022","16:51","18:31","ICE 127","1",""
"16.08.2022","17:02","19:39","ICE 1224","0","Ausfall (Zielbahnhof)"
"16.08.2022","17:18","18:48","ICE 727","10",""
"16.08.2022","18:18","19:48","ICE 729","0",""
"16.08.2022","18:48","20:30","ICE 129","0","Ausfall (Startbahnhof)"
"16.08.2022","19:05","20:48","ICE 821","22",""
"16.08.2022","19:23","22:13","ICE 1021","44",""
"16.08.2022","20:08","21:48","ICE 823","1",""
"16.08.2022","20:24","23:12","IC 2215","98",""
"16.08.2022","20:50","22:31","ICE 221","0",""
"16.08.2022","23:16","02:22","IC 60403","19",""
"16.08.2022","23:24","01:10","ICE 619","8",""
"17.08.2022","02:39","07:02","ICE 921","116",""
"17.08.2022","05:34","07:24","ICE 811","0",""
"17.08.2022","06:17","07:48","ICE 525","1",""
"17.08.2022","07:18","08:48","ICE 527","10",""
"17.08.2022","08:18","09:48","ICE 529","11",""
"17.08.2022","08:54","10:31","ICE 121","8",""
"17.08.2022","09:10","10:48","ICE 621","4",""
"17.08.2022","10:09","11:48","ICE 623","0",""
"17.08.2022","11:05","12:48","ICE 625","2",""
"17.08.2022","12:17","13:48","ICE 627","28",""
"17.08.2022","12:48","14:26","ICE 123","4",""
"17.08.2022","13:05","14:48","ICE 629","8",""
"17.08.2022","13:33","15:24","ICE 817","0",""
"17.08.2022","14:18","15:48","ICE 721","17",""
"17.08.2022","15:08","16:48","ICE 723","0",""
"17.08.2022","16:18","17:48","ICE 725","24",""
"17.08.2022","16:51","18:31","ICE 127","0","Ausfall (Zielbahnhof)"
"17.08.2022","17:02","19:39","ICE 1224","0","Ausfall (Zielbahnhof)"
"17.08.2022","17:18","18:48","ICE 727","26",""
"17.08.2022","18:18","19:48","ICE 729","0",""
"17.08.2022","18:48","20:30","ICE 129","98",""
"17.08.2022","19:05","20:48","ICE 821","0",""
"17.08.2022","19:23","22:13","ICE 1021","11",""
"17.08.2022","20:08","21:48","ICE 823","0",""
"17.08.2022","20:24","23:12","IC 2215","0","Ausfall (Startbahnhof)"
"17.08.2022","20:50","22:31","ICE 221","99",""
"17.08.2022","23:16","02:22","IC 60403","37",""
"17.08.2022","23:24","01:10","ICE 619","43",""
"18.08.2022","04:54","06:48","ICE 523","0",""
"18.08.2022","19:23","22:13","ICE 1021","35",""
"18.08.2022","20:24","23:12","IC 2215","20",""
"18.08.2022","20:50","22:31","ICE 221","0","Ausfall (Startbahnhof)"
"18.08.2022","23:16","02:22","IC 60403","33",""
"18.08.2022","23:24","01:10","ICE 619","9",""
"19.08.2022","02:39","07:02","ICE 921","0",""
"19.08.2022","04:54","06:48","ICE 523","0",""
"19.08.2022","05:34","07:24","ICE 811","0","Ausfall (Startbahnhof)"
"19.08.2022","06:17","07:48","ICE 525","9",""
"19.08.2022","07:18","08:48","ICE 527","2",""
"19.08.2022","08:18","09:48","ICE 529","4",""
"19.08.2022","08:54","10:31","ICE 121","0",""
"19.08.2022","09:10","10:48","ICE 621","1",""
"19.08.2022","10:09","11:48","ICE 623","6",""
"19.08.2022","11:05","12:48","ICE 625","4",""
"19.08.2022","12:17","13:48","ICE 627","32",""
"19.08.2022","12:48","14:26","ICE 123","48",""
"19.08.2022","13:05","14:48","ICE 629","6",""
"19.08.2022","13:33","15:24","ICE 817","2",""
"19.08.2022","14:18","15:48","ICE 721","0","Ausfall (Startbahnhof)"
"19.08.2022","15:08","16:48","ICE 723","0",""
"19.08.2022","16:18","17:48","ICE 725","41",""
"19.08.2022","16:51","18:31","ICE 127","0","Ausfall (Zielbahnhof)"
"19.08.2022","17:02","19:39","ICE 1224","0","Ausfall (Startbahnhof)"
"19.08.2022","17:18","18:48","ICE 727","26",""
"19.08.2022","18:18","19:48","ICE 729","0","Ausfall (Startbahnhof)"
"19.08.2022","18:48","20:30","ICE 129","19",""
"19.08.2022","19:05","20:48","ICE 821","12",""
"19.08.2022","19:23","22:13","ICE 1021","72",""
"19.08.2022","20:08","21:48","ICE 823","5",""
"19.08.2022","20:24","23:12","IC 2215","157",""
"19.08.2022","20:50","22:31","ICE 221","3",""
"19.08.2022","23:16","02:22","IC 60403","40",""
"20.08.2022","04:54","06:48","ICE 523","0","Ausfall (Startbahnhof)"
"20.08.2022","06:17","07:48","ICE 525","69",""
"20.08.2022","07:18","08:48","ICE 527","0","Ausfall (Startbahnhof)"
"20.08.2022","08:18","09:48","ICE 529","47",""
"20.08.2022","08:54","10:31","ICE 121","0","Ausfall (Startbahnhof)"
"20.08.2022","09:10","10:48","ICE 621","31",""
"20.08.2022","10:09","11:48","ICE 623","7",""
"20.08.2022","11:05","12:48","ICE 625","3",""
"20.08.2022","12:17","13:48","ICE 627","31",""
"20.08.2022","12:48","14:26","ICE 123","3",""
"20.08.2022","13:05","14:48","ICE 629","5",""
"20.08.2022","13:33","15:24","ICE 817","0",""
"20.08.2022","14:18","15:48","ICE 721","1",""
"20.08.2022","15:08","16:48","ICE 723","35",""
"20.08.2022","16:18","17:48","ICE 725","28",""
"20.08.2022","16:49","18:31","ICE 127","1",""
"20.08.2022","17:18","18:48","ICE 727","0",""
"20.08.2022","18:18","19:48","ICE 729","19",""
"20.08.2022","19:05","20:48","ICE 821","4",""
"20.08.2022","19:23","22:25","ICE 1021","42",""
"20.08.2022","20:08","21:48","ICE 823","0",""
"20.08.2022","20:24","23:32","IC 2215","16",""
"20.08.2022","20:50","22:31","ICE 221","6",""
"20.08.2022","23:16","02:28","IC 60403","1",""
"20.08.2022","23:24","01:10","ICE 619","13",""
"21.08.2022","02:39","07:02","ICE 921","0",""
"21.08.2022","06:17","07:48","ICE 525","1",""
"21.08.2022","07:18","08:48","ICE 527","0",""
"21.08.2022","08:18","09:48","ICE 529","0",""
"21.08.2022","09:10","10:48","ICE 621","54",""
"21.08.2022","10:09","11:48","ICE 623","0",""
"21.08.2022","11:08","12:48","ICE 625","0",""
"21.08.2022","12:17","13:48","ICE 627","5",""
"21.08.2022","12:48","14:26","ICE 123","0","Ausfall (Startbahnhof)"
"21.08.2022","13:05","14:48","ICE 629","3",""
"21.08.2022","13:33","15:24","ICE 817","1",""
"21.08.2022","14:18","15:48","ICE 721","16",""
"21.08.2022","15:08","16:48","ICE 723","0",""
"21.08.2022","16:18","17:48","ICE 2925","11",""
"21.08.2022","16:18","17:48","ICE 725","0","Ausfall (Zielbahnhof)"
"21.08.2022","16:51","18:31","ICE 127","15",""
"21.08.2022","17:18","18:48","ICE 727","5",""
"21.08.2022","18:18","19:48","ICE 729","1",""
"21.08.2022","18:48","20:30","ICE 129","1",""
"21.08.2022","19:05","20:48","ICE 821","0",""
"21.08.2022","19:23","22:25","ICE 1021","51",""
"21.08.2022","20:08","21:48","ICE 823","11",""
"21.08.2022","20:24","23:32","IC 2215","32",""
"21.08.2022","20:50","22:31","ICE 221","9",""
"21.08.2022","23:21","02:28","IC 60403","8",""
"21.08.2022","23:24","01:10","ICE 619","18",""
"22.08.2022","02:39","07:02","ICE 921","9",""
"22.08.2022","04:54","06:48","ICE 523","0",""
"22.08.2022","05:34","07:24","ICE 811","0",""
"22.08.2022","06:17","07:48","ICE 525","0",""
"22.08.2022","07:18","08:48","ICE 527","1",""
"22.08.2022","08:18","09:48","ICE 529","4",""
"22.08.2022","08:54","10:31","ICE 121","0","Ausfall (Startbahnhof)"
"22.08.2022","09:10","10:48","ICE 621","31",""
"22.08.2022","10:09","11:48","ICE 623","0",""
"22.08.2022","11:05","12:48","ICE 625","0",""
"22.08.2022","12:17","13:48","ICE 627","29",""
"22.08.2022","12:48","14:26","ICE 123","1",""
"22.08.2022","13:05","14:48","ICE 629","1",""
"22.08.2022","13:33","15:24","ICE 817","8",""
"22.08.2022","14:18","15:48","ICE 721","23",""
"22.08.2022","15:08","16:48","ICE 723","34",""
"22.08.2022","16:18","17:48","ICE 725","51",""
"22.08.2022","16:51","18:31","ICE 127","0",""
"22.08.2022","17:02","19:39","ICE 1224","0","Ausfall (Startbahnhof)"
"22.08.2022","17:18","18:48","ICE 727","29",""
"22.08.2022","18:18","19:48","ICE 729","0",""
"22.08.2022","18:48","20:30","ICE 129","0","Ausfall (Startbahnhof)"
"22.08.2022","19:05","20:48","ICE 821","0",""
"22.08.2022","19:23","22:25","ICE 1021","24",""
"22.08.2022","20:08","21:48","ICE 823","53",""
"22.08.2022","20:24","23:32","IC 2215","0","Ausfall (Startbahnhof)"
"22.08.2022","20:50","22:31","ICE 221","23",""
"22.08.2022","23:22","02:28","IC 60403","9",""
"22.08.2022","23:24","01:10","ICE 619","30",""
"23.08.2022","02:39","07:02","ICE 921","1",""
"23.08.2022","04:54","06:48","ICE 523","0",""
"23.08.2022","05:34","07:24","ICE 811","0",""
"23.08.2022","06:17","07:48","ICE 525","3",""
"23.08.2022","07:18","08:48","ICE 527","12",""
"23.08.2022","08:18","09:48","ICE 529","19",""
"23.08.2022","08:54","10:31","ICE 121","1",""
"23.08.2022","09:10","10:48","ICE 621","2",""
"23.08.2022","10:09","11:48","ICE 623","0",""
"23.08.2022","11:05","12:48","ICE 625","2",""
"23.08.2022","12:17","13:48","ICE 627","14",""
"23.08.2022","12:48","14:26","ICE 123","0",""
"23.08.2022","13:05","14:48","ICE 629","2",""
"23.08.2022","13:33","15:24","ICE 817","0","Ausfall (Zielbahnhof)"
"23.08.2022","14:18","15:48","ICE 721","7",""
"23.08.2022","15:08","16:48","ICE 723","2",""
"23.08.2022","16:18","17:48","ICE 725","64",""
"23.08.2022","16:51","18:31","ICE 127","0","Ausfall (Startbahnhof)"
"23.08.2022","17:02","19:39","ICE 1224","0","Ausfall (Startbahnhof)"
"23.08.2022","17:18","18:48","ICE 727","0","Ausfall (Zielbahnhof)"
"23.08.2022","18:18","19:48","ICE 729","0","Ausfall (Startbahnhof)"
"23.08.2022","18:48","20:30","ICE 129","1",""
"23.08.2022","19:05","20:48","ICE 821","0","Ausfall (Startbahnhof)"
"23.08.2022","19:23","22:13","ICE 1021","27",""
"23.08.2022","20:08","21:48","ICE 823","0","Ausfall (Startbahnhof)"
"23.08.2022","20:24","23:12","IC 2215","19",""
"23.08.2022","20:50","22:31","ICE 221","0","Ausfall (Startbahnhof)"
"23.08.2022","23:21","02:22","IC 60403","0",""
"23.08.2022","23:24","01:10","ICE 619","18",""
"24.08.2022","02:39","07:02","ICE 921","23",""
"24.08.2022","04:54","06:48","ICE 523","0",""
"24.08.2022","05:34","07:24","ICE 811","0",""
"24.08.2022","06:17","07:48","ICE 525","0",""
"24.08.2022","07:18","08:48","ICE 527","2",""
"24.08.2022","08:18","09:48","ICE 529","0",""
"24.08.2022","08:54","10:31","ICE 121","23",""
"24.08.2022","09:10","10:48","ICE 621","1",""
"24.08.2022","10:09","11:48","ICE 623","0",""
"24.08.2022","11:05","12:48","ICE 625","0",""
"24.08.2022","12:17","13:48","ICE 2927","24",""
"24.08.2022","12:17","13:48","ICE 627","0","Ausfall (Zielbahnhof)"
"24.08.2022","12:48","14:26","ICE 123","21",""
"24.08.2022","13:05","14:48","ICE 629","1",""
"24.08.2022","13:33","15:24","ICE 817","0",""
"24.08.2022","14:18","15:48","ICE 721","1",""
"24.08.2022","15:08","16:48","ICE 723","0",""
"24.08.2022","16:18","17:48","ICE 725","12",""
"24.08.2022","16:51","18:31","ICE 127","0","Ausfall (Startbahnhof)"
"24.08.2022","17:02","19:39","ICE 1224","80",""
"24.08.2022","17:18","18:48","ICE 727","17",""
"24.08.2022","18:18","19:48","ICE 729","70",""
"24.08.2022","18:48","20:30","ICE 129","25",""
"24.08.2022","19:05","20:48","ICE 821","9",""
"24.08.2022","19:23","22:13","ICE 1021","36",""
"24.08.2022","20:08","21:48","ICE 823","3",""
"24.08.2022","20:24","23:12","IC 2215","120",""
"24.08.2022","20:50","22:31","ICE 221","15",""
"24.08.2022","23:22","02:22","IC 60403","11",""
"24.08.2022","23:24","01:10","ICE 619","34",""
"25.08.2022","02:39","07:02","ICE 921","8",""
"25.08.2022","04:54","06:48","ICE 523","0",""
"25.08.2022","05:34","07:24","ICE 811","0",""
"25.08.2022","06:17","07:48","ICE 525","3",""
"25.08.2022","07:18","08:48","ICE 527","0",""
"25.08.2022","08:18","09:48","ICE 529","2",""
"25.08.2022","08:54","10:31","ICE 121","0",""
"25.08.2022","09:10","10:48","ICE 621","1",""
"25.08.2022","10:09","11:48","ICE 623","11",""
"25.08.2022","11:05","12:48","ICE 625","0",""
"25.08.2022","12:17","13:48","ICE 627","2",""
"25.08.2022","12:48","14:26","ICE 123","0",""
"25.08.2022","13:05","14:48","ICE 629","70",""
"25.08.2022","13:33","15:24","ICE 817","57",""
"25.08.2022","14:18","15:48","ICE 721","5",""
"25.08.2022","15:08","16:48","ICE 2923","1",""
"25.08.2022","15:08","16:48","ICE 723","0","Ausfall (Zielbahnhof)"
"25.08.2022","16:18","17:48","ICE 725","48",""
"25.08.2022","16:51","18:31","ICE 127","0",""
"25.08.2022","17:02","19:39","ICE 1224","11",""
"25.08.2022","17:18","18:48","ICE 727","2",""
"25.08.2022","18:18","19:48","ICE 729","16",""
"25.08.2022","18:48","20:30","ICE 129","37",""
"25.08.2022","19:05","20:48","ICE 821","5",""
"25.08.2022","19:23","22:13","ICE 1021","47",""
"25.08.2022","20:08","21:48","ICE 823","0",""
"25.08.2022","20:24","23:12","IC 2215","104",""
"25.08.2022","20:50","22:31","ICE 221","35",""
"25.08.2022","23:21","02:22","IC 60403","25",""
"25.08.2022","23:24","01:10","ICE 619","30",""
"26.08.2022","02:39","07:02","ICE 921","0",""
"26.08.2022","04:54","06:48","ICE 523","0",""
"26.08.2022","05:34","07:24","ICE 811","0",""
"26.08.2022","06:17","07:48","ICE 525","3",""
"26.08.2022","07:18","08:48","ICE 527","9",""
"26.08.2022","08:18","09:48","ICE 529","2",""
"26.08.2022","08:54","10:31","ICE 121","4",""
"26.08.2022","09:10","10:48","ICE 621","1",""
"26.08.2022","10:09","11:48","ICE 623","1",""
"26.08.2022","11:05","12:48","ICE 625","25",""
"26.08.2022","12:17","13:48","ICE 627","16",""
"26.08.2022","12:48","14:26","ICE 123","2",""
"26.08.2022","13:05","14:48","ICE 629","10",""
"26.08.2022","13:33","15:24","ICE 817","0","Ausfall (Zielbahnhof)"
"26.08.2022","14:18","15:48","ICE 2921","36",""
"26.08.2022","14:18","15:48","ICE 721","0","Ausfall (Zielbahnhof)"
"26.08.2022","15:08","16:48","ICE 723","21",""
"26.08.2022","16:18","17:48","ICE 725","24",""
"26.08.2022","16:51","18:31","ICE 127","3",""
"26.08.2022","17:02","19:39","ICE 1224","0","Ausfall (Startbahnhof)"
"26.08.2022","17:18","18:48","ICE 727","0","Ausfall (Zielbahnhof)"
"26.08.2022","18:18","19:48","ICE 729","47",""
"26.08.2022","18:48","20:30","ICE 129","31",""
"26.08.2022","19:05","20:48","ICE 821","4",""
"26.08.2022","19:23","22:13","ICE 1021","38",""
"26.08.2022","20:08","21:48","ICE 823","19",""
"26.08.2022","20:24","23:12","IC 2215","51",""
"26.08.2022","20:50","22:31","ICE 221","10",""
"26.08.2022","23:24","01:10","ICE 619","20",""
"27.08.2022","06:17","07:48","ICE 525","2",""
"27.08.2022","07:18","08:48","ICE 527","0",""
"27.08.2022","08:18","09:48","ICE 529","18",""
"27.08.2022","09:10","10:48","ICE 621","9",""
"27.08.2022","10:09","11:48","ICE 623","3",""
"27.08.2022","11:05","12:48","ICE 625","0",""
"27.08.2022","12:17","13:48","ICE 627","16",""
"27.08.2022","13:05","14:48","ICE 629","11",""
"27.08.2022","13:33","15:24","ICE 817","0","Ausfall (Zielbahnhof)"
"27.08.2022","14:18","15:48","ICE 721","23",""
"27.08.2022","15:08","16:48","ICE 2919","0",""
"27.08.2022","15:08","16:48","ICE 723","0","Ausfall (Zielbahnhof)"
"27.08.2022","16:18","17:48","ICE 725","4",""
"27.08.2022","17:18","18:48","ICE 727","6",""
"27.08.2022","18:18","19:48","ICE 729","3",""
"27.08.2022","19:05","20:48","ICE 821","0",""
"27.08.2022","19:23","22:25","ICE 1021","9",""
"27.08.2022","20:08","21:48","ICE 823","1",""
"27.08.2022","20:24","23:32","IC 2215","23",""
"27.08.2022","23:24","01:10","ICE 619","0",""
"28.08.2022","02:39","07:02","ICE 921","2",""
"28.08.2022","06:17","07:48","ICE 525","1",""
"28.08.2022","07:18","08:48","ICE 527","0",""
"28.08.2022","08:18","09:48","ICE 529","0",""
"28.08.2022","09:10","10:48","ICE 621","1",""
"28.08.2022","10:09","11:48","ICE 623","24",""
"28.08.2022","11:08","12:48","ICE 625","2",""
"28.08.2022","12:17","13:48","ICE 627","20",""
"28.08.2022","13:05","14:48","ICE 629","15",""
"28.08.2022","13:33","15:24","ICE 817","0","Ausfall (Zielbahnhof)"
"28.08.2022","14:18","15:48","ICE 721","29",""
"28.08.2022","15:08","16:48","ICE 2921","50",""
"28.08.2022","15:08","16:48","ICE 723","0","Ausfall (Zielbahnhof)"
"28.08.2022","16:18","17:48","ICE 725","46",""
"28.08.2022","17:18","18:48","ICE 727","8",""
"28.08.2022","18:18","19:48","ICE 729","70",""
"28.08.2022","19:05","20:48","ICE 821","27",""
"28.08.2022","19:23","22:25","ICE 1021","16",""
"28.08.2022","20:08","21:48","ICE 823","0",""
"28.08.2022","20:24","23:32","IC 2215","11",""
"28.08.2022","21:23","23:06","ICE 617","34",""
"28.08.2022","23:24","01:10","ICE 619","0",""
"29.08.2022","02:39","07:02","ICE 921","0",""
"29.08.2022","04:54","06:48","ICE 523","4",""
"29.08.2022","05:34","07:24","ICE 811","0",""
"29.08.2022","06:17","07:48","ICE 525","1",""
"29.08.2022","07:18","08:48","ICE 527","1",""
"29.08.2022","08:18","09:48","ICE 529","8",""
"29.08.2022","09:10","10:48","ICE 621","3",""
"29.08.2022","10:09","11:48","ICE 623","1",""
"29.08.2022","11:05","12:48","ICE 625","8",""
"29.08.2022","12:17","13:48","ICE 627","0",""
"29.08.2022","13:05","14:48","ICE 629","19",""
"29.08.2022","13:33","15:24","ICE 817","9",""
"29.08.2022","14:18","15:48","ICE 721","21",""
"29.08.2022","15:08","16:48","ICE 2823","6",""
"29.08.2022","15:08","16:48","ICE 723","0","Ausfall (Zielbahnhof)"
"29.08.2022","16:18","17:48","ICE 725","20",""
"29.08.2022","17:02","19:39","ICE 1224","0","Ausfall (Startbahnhof)"
"29.08.2022","17:18","18:48","ICE 727","0",""
"29.08.2022","18:18","19:48","ICE 729","0",""
"29.08.2022","19:05","20:48","ICE 821","0",""
"29.08.2022","19:23","22:25","ICE 1021","8",""
"29.08.2022","20:08","21:48","ICE 823","1",""
"29.08.2022","20:24","23:32","IC 2215","63",""
"29.08.2022","23:24","01:10","ICE 619","0",""
"30.08.2022","02:39","07:02","ICE 921","15",""
"30.08.2022","04:54","06:48","ICE 523","0",""
"30.08.2022","05:34","07:24","ICE 811","0",""
"30.08.2022","06:17","07:48","ICE 525","70",""
"30.08.2022","07:18","08:48","ICE 527","21",""
"30.08.2022","08:18","09:48","ICE 529","5",""
"30.08.2022","09:10","10:48","ICE 621","0",""
"30.08.2022","10:09","11:48","ICE 623","8",""
"30.08.2022","11:05","12:48","ICE 625","8",""
"30.08.2022","12:17","13:48","ICE 627","0",""
"30.08.2022","13:05","14:48","ICE 629","43",""
"30.08.2022","13:33","15:24","ICE 817","15",""
"30.08.2022","14:18","15:48","ICE 721","0",""
"30.08.2022","15:08","16:48","ICE 2823","0",""
"30.08.2022","15:08","16:48","ICE 723","0","Ausfall (Zielbahnhof)"
"30.08.2022","16:18","17:48","ICE 725","9",""
"30.08.2022","17:02","19:39","ICE 1224","0","Ausfall (Startbahnhof)"
"30.08.2022","17:18","18:48","ICE 727","7",""
"30.08.2022","18:18","19:48","ICE 729","1",""
"30.08.2022","19:05","20:48","ICE 821","1",""
"30.08.2022","19:23","22:13","ICE 1021","2",""
"30.08.2022","20:08","21:48","ICE 823","0",""
"30.08.2022","20:24","23:12","IC 2215","2",""
"30.08.2022","23:24","01:10","ICE 619","26",""
"31.08.2022","02:39","07:02","ICE 921","0",""
"31.08.2022","04:54","06:48","ICE 523","2",""
"31.08.2022","05:34","07:24","ICE 811","0",""
"31.08.2022","06:17","07:48","ICE 525","0",""
"31.08.2022","07:18","08:48","ICE 527","1",""
"31.08.2022","08:18","09:48","ICE 529","0",""
"31.08.2022","09:10","10:48","ICE 621","14",""
"31.08.2022","10:09","11:48","ICE 623","3",""
"31.08.2022","11:05","12:48","ICE 625","0",""
"31.08.2022","13:05","14:48","ICE 629","15",""
"31.08.2022","13:33","15:24","ICE 817","5",""
"31.08.2022","14:18","15:48","ICE 721","9",""
"31.08.2022","15:08","16:48","ICE 2823","0",""
"31.08.2022","15:08","16:48","ICE 723","0","Ausfall (Zielbahnhof)"
"31.08.2022","16:18","17:48","ICE 725","9",""
"31.08.2022","17:02","19:39","ICE 1224","3",""
"31.08.2022","17:18","18:48","ICE 727","25",""
"31.08.2022","18:18","19:48","ICE 729","3",""
"31.08.2022","19:05","20:48","ICE 821","32",""
"31.08.2022","19:23","22:13","ICE 1021","90",""
"31.08.2022","20:08","21:48","ICE 823","7",""
"31.08.2022","20:24","23:12","IC 2215","84",""
"31.08.2022","23:24","01:10","ICE 619","0",""
"01.09.2022","02:39","07:02","ICE 921","0","Ausfall (Startbahnhof)"
"01.09.2022","04:54","06:48","ICE 523","0",""
"01.09.2022","05:34","07:24","ICE 811","15",""
"01.09.2022","06:17","07:48","ICE 525","9",""
"01.09.2022","07:18","08:48","ICE 527","2",""
"01.09.2022","08:18","09:48","ICE 529","5",""
"01.09.2022","09:10","10:48","ICE 621","16",""
"01.09.2022","10:09","11:48","ICE 623","0",""
"01.09.2022","11:05","12:48","ICE 625","11",""
"01.09.2022","12:17","13:48","ICE 627","0",""
"01.09.2022","13:05","14:48","ICE 629","3",""
"01.09.2022","13:33","15:24","ICE 817","0",""
"01.09.2022","14:18","15:48","ICE 721","1",""
"01.09.2022","15:08","16:48","ICE 723","0","Ausfall (Zielbahnhof)"
"01.09.2022","16:18","17:48","ICE 725","32",""
"01.09.2022","17:02","19:39","ICE 1224","25",""
"01.09.2022","17:18","18:48","ICE 727","4",""
"01.09.2022","18:18","19:48","ICE 729","1",""
"01.09.2022","19:05","20:48","ICE 821","3",""
"01.09.2022","19:23","22:13","ICE 1021","2",""
"01.09.2022","20:08","21:48","ICE 823","1",""
"01.09.2022","20:24","23:12","IC 2215","7",""
"01.09.2022","23:24","01:10","ICE 619","9",""
"02.09.2022","02:39","07:02","ICE 921","0",""
"02.09.2022","04:54","06:48","ICE 523","0",""
"02.09.2022","05:34","07:24","ICE 811","0",""
"02.09.2022","06:17","07:48","ICE 525","0",""
"02.09.2022","07:18","08:48","ICE 527","0",""
"02.09.2022","08:18","09:48","ICE 529","1",""
"02.09.2022","09:10","10:48","ICE 621","3",""
"02.09.2022","10:09","11:48","ICE 623","0",""
"02.09.2022","11:05","12:48","ICE 625","55",""
"02.09.2022","12:17","13:48","ICE 627","12",""
"02.09.2022","13:05","14:48","ICE 629","22",""
"02.09.2022","13:33","15:24","ICE 817","0",""
"02.09.2022","14:18","15:48","ICE 721","36",""
"02.09.2022","15:08","16:48","ICE 2823","6",""
"02.09.2022","15:08","16:48","ICE 723","0","Ausfall (Zielbahnhof)"
"02.09.2022","16:18","17:48","ICE 725","26",""
"02.09.2022","17:02","19:39","ICE 1224","0",""
"02.09.2022","17:18","18:48","ICE 727","1",""
"02.09.2022","18:18","19:48","ICE 729","0",""
"02.09.2022","19:05","20:48","ICE 821","10",""
"02.09.2022","19:23","22:13","ICE 1021","40",""
"02.09.2022","20:08","21:48","ICE 823","6",""
"02.09.2022","20:24","23:12","IC 2215","63",""
"02.09.2022","21:22","00:13","ICE 1627","28",""
"02.09.2022","23:24","01:10","ICE 619","19",""
"03.09.2022","04:54","06:48","ICE 523","0",""
"03.09.2022","06:17","07:48","ICE 525","0",""
"03.09.2022","07:18","08:48","ICE 527","56",""
"03.09.2022","08:18","09:48","ICE 529","24",""
"03.09.2022","09:10","10:48","ICE 621","3",""
"03.09.2022","10:09","11:48","ICE 623","2",""
"03.09.2022","11:05","12:48","ICE 625","10",""
"03.09.2022","12:17","13:48","ICE 627","0",""
"03.09.2022","13:05","14:48","ICE 629","1",""
"03.09.2022","13:33","15:24","ICE 817","0",""
"03.09.2022","14:18","15:48","ICE 721","0",""
"03.09.2022","15:08","16:48","ICE 723","0",""
"03.09.2022","16:18","17:48","ICE 725","0",""
"03.09.2022","17:18","18:48","ICE 727","8",""
"03.09.2022","18:18","19:48","ICE 729","0",""
"03.09.2022","19:05","20:48","ICE 821","1",""
"03.09.2022","19:23","22:13","ICE 1021","33",""
"03.09.2022","20:08","21:48","ICE 823","1",""
"03.09.2022","20:24","23:12","IC 2215","33",""
"03.09.2022","21:22","00:13","ICE 1627","42",""
"03.09.2022","23:24","01:10","ICE 619","0",""
"04.09.2022","02:39","07:02","ICE 921","0",""
"04.09.2022","06:17","07:48","ICE 525","0",""
"04.09.2022","07:18","08:48","ICE 527","15",""
"04.09.2022","08:18","09:48","ICE 529","0",""
